site,altnames,sponsor,district,is_school,schoolcode,districtcode
37 ECB,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,FALSE,,
A.B & JESSIE POLINSKY CHILDREN'S CENTER,,SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES,,FALSE,,
ABRAXAS CONTINUATION HIGH,ABRAXAS CONTINUATION HIGH,POWAY UNIFIED,POWAY UNIFIED,TRUE,3735842,68296
ACADEMY OF ARTS AND SCIENCES,ACADEMY OF ARTS AND SCIENCES,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,127084,68213
ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (K-5),ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (K-5),,MOUNTAIN EMPIRE UNIFIED,TRUE,127068,68213
ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),,MOUNTAIN EMPIRE UNIFIED,TRUE,127084,68213
ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY (K-5),ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY (K-5),,MOUNTAIN EMPIRE UNIFIED,TRUE,127035,68213
ACADEMY OF ARTS AND SCIENCES: EL CAJON MIDDLE AND HIGH (6-12),ACADEMY OF ARTS AND SCIENCES: EL CAJON MIDDLE AND HIGH (6-12),,MOUNTAIN EMPIRE UNIFIED,TRUE,127050,68213
ADA W. HARRIS ELEMENTARY,ADA W. HARRIS ELEMENTARY,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,TRUE,6037758,68007
ADAMS ELEMENTARY,ADAMS ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039101,68338
ADOBE BLUFFS ELEMENTARY,ADOBE BLUFFS ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6110878,68296
ALAMOSA PARK ELEMENTARY,ALAMOSA PARK ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6107031,68452
ALBA,"ALBA, ALBA-ANNEX",SAN DIEGO UNIFIED,,TRUE,3731130,68338
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,ALBERT EINSTEIN ACADEMIES,SAN DIEGO UNIFIED,TRUE,6120935,68338
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,ALBERT EINSTEIN ACADEMIES,SAN DIEGO UNIFIED,TRUE,111898,68338
ALBERT EINSTEIN ACADEMY ELEMENTARY,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",,TRUE,,
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - AGUA DULC",,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",,TRUE,,
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - ODYSSEY",,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",,TRUE,,
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIENCES",,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",,TRUE,,
ALCOTT ELEMENTARY,ALCOTT ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039119,68338
ALL TRIBES CHARTER,ALL TRIBES CHARTER,,WARNER UNIFIED,TRUE,6119275,75416
ALL TRIBES ELEMENTARY CHARTER,ALL TRIBES ELEMENTARY CHARTER,,WARNER UNIFIED,TRUE,122796,75416
ALLEN (ELLA B.) ELEMENTARY,ALLEN (ELLA B.) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037832,68023
ALPINE ELEMENTARY,ALPINE ELEMENTARY,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,TRUE,6037519,67967
ALTA VISTA ACADEMY,ALTA VISTA ACADEMY,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3731460,68411
ALTA VISTA HIGH (CONTINUATION),ALTA VISTA HIGH (CONTINUATION),VISTA UNIFIED,VISTA UNIFIED,TRUE,3732039,68452
ALVIN M. DUNN ELEMENTARY,ALVIN M. DUNN ELEMENTARY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,6039069,73791
AMERICA'S FINEST CHARTER,AMERICA'S FINEST CHARTER,"AMERICA'S FINEST CHARTER  SCHOOL,",SAN DIEGO UNIFIED,TRUE,136663,68338
ANGIER ELEMENTARY,ANGIER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039135,68338
ANZA ELEMENTARY,ANZA ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037568,67991
ARROYO PASEO CHARTER HIGH,ARROYO PASEO CHARTER HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,114520,68338
ARROYO VISTA CHARTER,ARROYO VISTA CHARTER,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6116859,68023
